count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6001,2003,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,1067,56672,667,8170,1264,165,572,472,602,505,3580,70156
6001,2004,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,1096,50403,543,7127,1425,194,274,274,481,587,3235,62404
6001,2005,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,1046,51769,638,8745,1567,181,244,301,477,634,3404,65602
6001,2006,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,1054,54003,873,11224,1697,199,419,279,545,555,3694,70848
6001,2007,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,1138,48681,362,9800,1624,197,462,317,591,670,3861,63842
6001,2008,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,1158,63690,644,12840,1819,248,279,221,472,528,3567,81899
6001,2009,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,961,59495,663,9722,2431,349,459,50,315,1122,4726,75567
6001,2010,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Estimated,"Estimated using previous year's AADF on this link",0,908,58245,713,10062,2572,352,400,57,289,1097,4767,74695
6001,2011,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,580,51756,476,7441,1638,223,291,71,216,764,3203,63456
6001,2012,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Estimated,"Estimated using previous year's AADF on this link",0,554,51016,512,8029,1654,243,331,57,221,837,3342,63454
6001,2013,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,728,48548,728,11301,1888,263,648,88,487,1051,4426,65730
6001,2014,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Estimated,"Estimated using previous year's AADF on this link",0,778,48786,740,12371,1804,272,661,89,452,1126,4404,67078
6001,2015,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Manual count",0,990,53020,568,11209,2448,231,438,144,433,814,4507,70295
6001,2016,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Estimated,"Estimated using previous year's AADF on this link",0,1003,53453,556,11904,2575,226,510,148,410,847,4714,71631
6001,2017,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468794,-0.26531508,6.80,4.23,Counted,"Automatic counter",0,997,57240,583,13836,2905,258,606,161,451,939,5320,77975
6001,2018,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468600,-0.26531515,6.80,4.23,Counted,"Automatic counter",0,991,56725,585,14267,2956,266,628,161,457,947,5415,77983
6001,2019,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468600,-0.26531515,6.80,4.23,Counted,"Automatic counter",0,1017,61111,621,15129,3125,299,696,170,483,1009,5783,83662
6001,2020,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468600,-0.26531515,6.80,4.23,Counted,"Manual count",0,383,42548,54,10275,1419,233,346,88,224,1183,3493,56753
6001,2021,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468600,-0.26531515,6.80,4.23,Estimated,"Estimated using previous year's AADF on this link",0,391,48641,54,12010,1615,259,389,97,242,1277,3880,64976
6001,2022,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468600,-0.26531515,6.80,4.23,Counted,"Manual count",0,495,48062,354,11275,1639,173,374,126,253,803,3369,63555
6001,2023,6,London,57,Barnet,M1,Major,2,4,520150,194300,51.63468600,-0.26531515,6.80,4.23,Estimated,"Estimated using previous year's AADF on this link",0,481,49397,371,11644,1633,173,380,127,249,777,3339,65231
6013,2000,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,2245,113761,2770,10620,4673,361,607,485,1049,650,7825,137221
6013,2001,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1574,102565,1182,13332,3044,213,457,679,1151,516,6060,124713
6013,2002,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1807,110458,1604,11794,3877,258,579,509,1273,693,7189,132852
6013,2003,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1170,94305,1024,10843,3563,334,473,487,940,646,6443,113785
6013,2004,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",0,1030,93644,563,11190,3852,381,559,489,878,748,6907,113334
6013,2005,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1412,101476,1277,11406,3207,327,591,515,1226,590,6456,122027
6013,2006,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1175,109398,1200,15188,3042,443,496,549,1218,642,6390,133351
6013,2007,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1362,97050,839,11855,3616,468,681,117,574,1274,6730,117836
6013,2008,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1037,110064,884,11776,2486,540,681,411,682,1225,6025,129786
6013,2009,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1201,105563,1204,12035,2470,296,487,116,558,1099,5026,125029
6013,2010,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1670,94572,541,19169,5517,202,1415,9,259,536,7938,123890
6013,2011,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1178,107227,1147,11135,2202,440,740,225,376,512,4495,125182
6013,2012,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,972,100256,1049,14780,2278,216,687,39,278,832,4331,121388
6013,2013,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,919,107870,1112,14068,2299,354,780,93,304,1272,5102,129071
6013,2014,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1314,106309,1098,15655,1949,299,637,340,1055,726,5005,129381
6013,2015,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1249,108494,961,18699,2846,348,724,277,932,831,5959,135362
6013,2016,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1230,117379,823,16045,3612,294,870,253,1246,522,6797,142273
6013,2017,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406703,-0.43272158,2.90,1.80,Counted,"Manual count",0,1000,110643,882,18742,2077,314,1021,255,1232,547,5445,136711
6013,2018,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406500,-0.43272165,2.90,1.80,Counted,"Automatic counter",0,1100,121304,979,21375,2338,358,1170,282,1382,611,6141,150899
6013,2019,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406500,-0.43272165,2.90,1.80,Counted,"Manual count",0,1021,108995,1002,16464,3448,501,1089,169,331,1730,7268,134750
6013,2020,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406500,-0.43272165,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",0,567,70417,539,13664,3025,443,993,155,312,1575,6504,91692
6013,2021,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406500,-0.43272165,2.90,1.80,Counted,"Manual count",0,755,84957,543,17322,3340,324,1141,223,431,1520,6979,110556
6013,2022,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406500,-0.43272165,2.90,1.80,Counted,"Manual count",0,701,97160,540,17157,3224,393,983,216,463,1317,6595,122153
6013,2023,6,London,66,Hillingdon,M4,Major,4,3,508900,178400,51.49406500,-0.43272165,2.90,1.80,Counted,"Manual count",0,625,94025,849,14260,3535,311,983,215,523,1474,7042,116801
6071,2000,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",30,1130,57030,499,11467,2245,337,704,168,521,213,4188,74314
6071,2001,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",31,1095,49087,346,11490,2642,342,739,245,515,510,4993,67011
6071,2002,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",50,1379,63412,455,10690,2125,450,769,342,364,497,4547,80483
6071,2003,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",21,1291,58011,369,12853,3000,469,1206,347,651,621,6294,78818
6071,2004,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",55,1268,67597,684,10083,2992,370,671,246,347,270,4896,84528
6071,2005,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",70,1264,66245,664,10133,3076,370,729,203,285,266,4929,83235
6071,2006,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",91,1376,68797,726,10742,2928,344,732,198,273,309,4784,86425
6071,2007,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",90,1409,67972,714,10989,2676,315,736,165,251,307,4450,85534
6071,2008,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",47,1809,56803,641,12246,2932,466,885,460,414,594,5751,77250
6071,2009,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",47,1758,55269,657,11866,2929,506,919,438,367,592,5751,75301
6071,2010,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",39,1264,94693,424,11079,2598,518,918,12,160,459,4665,112125
6071,2011,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",7,582,61335,409,12357,2648,729,631,103,382,349,4842,79525
6071,2012,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",0,1216,59279,340,11667,2826,401,1262,129,147,420,5184,77686
6071,2013,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",5,1045,65153,453,13336,1899,389,861,48,111,537,3846,83833
6071,2014,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",32,2051,57116,475,14200,4360,505,1042,122,251,377,6657,80499
6071,2015,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",48,1882,69380,415,16351,3299,351,1164,103,316,307,5540,93568
6071,2016,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Manual count",113,1490,73680,474,17487,2705,383,1186,141,346,435,5197,98328
6071,2017,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822846,-0.00986592,2.10,1.30,Counted,"Automatic counter",112,1574,74982,463,17684,2700,411,1033,128,345,425,5043,99745
6071,2018,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822700,-0.00986600,2.10,1.30,Counted,"Automatic counter",111,1599,75552,449,18201,2734,410,842,127,337,412,4863,100664
6071,2019,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822700,-0.00986600,2.10,1.30,Counted,"Automatic counter",103,1675,75180,443,18058,2668,410,876,127,335,407,4823,100179
6071,2020,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822700,-0.00986600,2.10,1.30,Counted,"Manual count",162,1440,56367,294,15884,2316,327,1000,89,62,442,4236,78221
6071,2021,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822700,-0.00986600,2.10,1.30,Counted,"Automatic counter",145,1800,66607,325,18551,2673,387,1207,104,71,520,4963,92246
6071,2022,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822700,-0.00986600,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",148,2076,68415,329,20139,2851,409,1234,113,75,510,5193,96151
6071,2023,6,London,93,"Tower Hamlets",A12,Major,A13,A11,538180,181800,51.51822700,-0.00986600,2.10,1.30,Counted,"Manual count",93,2624,59883,414,16826,2423,308,849,80,90,343,4094,83840
6075,2000,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Counted,"Manual count",468,1553,33065,833,5382,1066,133,91,21,43,25,1379,42212
6075,2001,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",533,1728,32305,829,5500,1062,155,93,19,39,29,1397,41759
6075,2002,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",543,1620,30496,953,5126,937,148,89,16,32,30,1252,39447
6075,2003,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",634,1688,29459,1152,5475,833,139,87,18,32,38,1147,38921
6075,2004,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",671,1774,26484,1254,5727,944,167,106,17,30,43,1307,36546
6075,2005,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",867,1769,25954,1218,5755,970,167,116,14,24,42,1333,36029
6075,2006,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1125,1924,26954,1330,6101,923,155,117,14,24,48,1281,37590
6075,2007,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Counted,"Manual count",1421,1848,30050,1238,7270,1239,120,108,66,61,57,1651,42057
6075,2008,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1457,1878,29419,1258,7263,1254,137,116,63,58,60,1688,41506
6075,2009,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Counted,"Manual count",2376,2111,27362,1228,5957,1012,104,76,92,51,98,1433,38091
6075,2010,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Counted,"Manual count",2208,1867,24774,1266,5787,1054,103,96,108,57,57,1475,35169
6075,2011,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2171,1835,24427,1282,5689,1035,109,106,84,57,60,1451,34684
6075,2012,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Counted,"Manual count",2301,1787,20811,1436,3931,1100,87,135,10,44,90,1466,29430
6075,2013,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2192,1645,20673,1517,3963,1131,96,157,8,47,101,1539,29336
6075,2014,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2359,1687,20979,1476,4038,995,91,147,7,39,98,1378,29558
6075,2015,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2385,1679,21293,1513,3962,947,94,140,10,43,108,1342,29789
6075,2016,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2467,1802,20853,1600,4087,930,88,197,10,43,122,1391,29733
6075,2017,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660547,-0.11753935,0.20,0.12,Counted,"Manual count",2004,1752,24010,1305,6013,508,93,132,65,59,44,902,33983
6075,2018,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660400,-0.11753943,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1979,1766,23989,1256,6136,510,92,107,64,57,43,873,34020
6075,2019,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660400,-0.11753943,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1855,1863,24052,1248,6134,502,93,112,64,57,43,871,34167
6075,2020,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660400,-0.11753943,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2295,1419,18232,1040,5347,444,77,93,54,51,37,756,26795
6075,2021,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660400,-0.11753943,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2050,1619,19670,1049,5701,468,83,102,58,54,40,805,28844
6075,2022,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660400,-0.11753943,0.20,0.12,Counted,"Manual count",2727,2041,17747,1205,5135,805,62,55,44,34,37,1037,27164
6075,2023,6,London,96,Islington,A1,Major,"A503 Camden Road","A503 Seven Sisters/Parkhurst Road",530600,185870,51.55660400,-0.11753943,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2796,2070,17710,1215,5226,800,60,54,42,33,35,1024,27245
6076,2000,6,London,57,Barnet,A1,Major,A406,"A598 Regent's Park Road",524500,189330,51.58907824,-0.20425691,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",31,1314,76989,248,10031,2105,319,326,304,580,273,3907,92489
6076,2001,6,London,57,Barnet,A1,Major,A406,"A598 Regent's Park Road",524500,189330,51.58907824,-0.20425691,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",35,1420,77066,265,10061,1966,350,310,288,537,330,3781,92593
6076,2002,6,London,57,Barnet,A1,Major,A406,"A598 Regent's Park Road",524500,189330,51.58907824,-0.20425691,0.50,0.31,Counted,"Manual count",37,1359,77066,290,10262,1828,352,312,245,438,340,3515,92492
6076,2003,6,London,57,Barnet,A1,Major,A406,"A598 Regent's Park Road",524500,189330,51.58907824,-0.20425691,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",54,1406,75525,334,11298,1647,335,307,252,418,403,3362,91925
